Fact-checker,Country,State,Check Date,Hoax-Checked,Original New,Missinformation Source
PolitiFact,US,FALSE,9/27/2019,"The Green New Deal would put a $600,000 tax burden on every household.","The Green New Deal ""would put a $600,000 tax burden on every household.""",Republican Party of Florida
PolitiFact,US,FALSE,8/12/2019,Ice melting in a cup illustrates that sea levels don’t rise when icebergs melt. ,Says that ice melting in a cup illustrates that sea levels don’t rise when icebergs melt.,Viral image
PolitiFact,US,FALSE,9/6/2019,"Alexandria Ocasio-Cortez tweeted, ""I see people are rushing out to fill up their cars for this hurricane at the gas station. This wouldn’t be an issue if they had electric cars. If the power is out for a week how are they going to get gas? We need to start planning ahead and moving forward."" ","Says Alexandria Ocasio-Cortez tweeted, ""I see people are rushing out to fill up their cars for this hurricane at the gas station. This wouldn’t be an issue if they had electric cars. If the power is out for a week how are they going to get gas? We need to start planning ahead and moving forward."" ",Viral image
PolitiFact,US,FALSE,5/23/2019,"""How to Survive The Coming Ice Age"" was a Time magazine cover story in 1977.   ","""How to Survive The Coming Ice Age"" was a Time magazine cover story in 1977.  ",Viral image
PolitiFact,US,FALSE,2/28/2019,The Democrats’ Green New Deal includes "working towards ending air travel." ,The Democrats’ Green New Deal includes "working towards ending air travel.",Rick Scott
PolitiFact,US,FALSE,2/19/2019,"Climate change is nothing but a bunch of computer models that attempt to tell us what's going to happen in 50 years or 30. Notice the predictions are never for next year or the next 10 years.They're always for way, way, way, way out there, when none of us are going to be around or alive to know whether or not they were true.","""Climate change is nothing but a bunch of computer models that attempt to tell us what's going to happen in 50 years or 30. Notice the predictions are never for next year or the next 10 years. They're always for way, way, way, way out there, when none of us are going to be around or alive to know whether or not they were true.""",Rush Limbaugh
PolitiFact,US,FALSE,10/28/2019,Sen. Lindsey Graham supports the Green New Deal. ,Say Sen. Lindsey Graham supports the Green New Deal.,Anonymous source
PolitiFact,US,FALSE,4/2/2019,"Alexandria Ocasio-Cortez said, ""We need to repeal Daylight Savings Time as a primary measure to decrease the rate of climate change. Less hours of sun shine equal less heat hitting Earth’s surface."" ","Says Alexandria Ocasio-Cortez said, ""We need to repeal Daylight Savings Time as a primary measure to decrease the rate of climate change. Less hours of sun shine equal less heat hitting Earth’s surface.""",Viral image
PolitiFact,US,FALSE,9/27/2019,A photo shows Greta Thunberg posing next to George Soros and with ISIS. ,Says a photo shows Greta Thunberg posing next to George Soros and with ISIS.,Anonymous Facebook posts
PolitiFact,US,FALSE,9/24/2019,A photo shows that climate change protesters left trash all over their protest side. ,Says a photo shows that climate change protesters left trash all over their protest side.,Anonymous Facebook posts
PolitiFact,US,FALSE,1/29/2018,"The ice caps were going to melt, they were going to be gone by now, but now they’re setting records, so okay, they’re at a record level. ","""The ice caps were going to melt, they were going to be gone by now, but now they’re setting records, so okay, they’re at a record level.""",Donald Trump
PolitiFact,US,FALSE,11/28/2018,"We need to also recognize that we just had two of the coldest years, biggest drop in global temperatures that we have had since the 1980s, the biggest in the last 100 years.","""We need to also recognize that we just had two of the coldest years, biggest drop in global temperatures that we have had since the 1980s, the biggest in the last 100 years. We don't talk about that.""",Danielle Pletka
PolitiFact,US,FALSE,11/20/2017,NASA Accidentally destroys every climate change advocate by exposing massive truth behind Antarctica.,"""BUSTED: NASA Accidentally destroys every climate change advocate by exposing massive truth behind Antarctica.""",AmericanNews.com
PolitiFact,US,FALSE,4/6/2017,The EPA director under Obama said the Clean Power Initiative would have no effect on man-made CO2 emissions.,"""The EPA director under Obama said the Clean Power Initiative would have no effect on man-made CO2 emissions. That's what she said. Go look it up.""",Rick Santorum
PolitiFact,US,FALSE,3/31/2017,The earth moves closer to the sun every year – you know the rotation of the earth. We’re moving closer to the sun. ,"""...the earth moves closer to the sun every year – you know the rotation of the earth. We’re moving closer to the sun.""",Scott Wagner
PolitiFact,US,FALSE,3/10/2017,Carbon dioxide is not a primary contributor to the global warming that we see.,Carbon dioxide is not "a primary contributor to the global warming that we see.",Scott Pruitt
PolitiFact,US,FALSE,2/5/2017,Food waste is the 3rd largest contributor of greenhouse gas emissions.   ,"""Food waste is the 3rd largest contributor"" of greenhouse gas emissions.  ",World Food Program
PolitiFact,US,FALSE,9/8/2017,"30,000 scientists have come forward confirming that man-made climate change is a hoax perpetuated by the elite in order to make money.","""30,000 scientists have come forward confirming that man-made climate change is a hoax perpetuated by the elite in order to make money.""",Anonymous source
PolitiFact,US,FALSE,6/9/2017,Every single year that there's an increase (in temperature) it's within the margin of error -- meaning it isn't increasing.,"""Every single year that there's an increase (in temperature) it's within the margin of error -- meaning it isn't increasing.""",Greg Gutfeld
PolitiFact,US,FALSE,8/12/2016,The climate hasn't warmed in quite a few years. That is proven scientifically.,"""The climate hasn't warmed in quite a few years. That is proven scientifically.""  ",Ron Johnson
PolitiFact,US,FALSE,10/7/2016,11 straight years of no major hurricanes striking land in the United States bores a hole right through the whole climate change argument. ,Says "11 straight years of no major hurricanes striking land" in the United States "bores a hole right through the whole climate change argument."  ,Rush Limbaugh
PolitiFact,US,FALSE,2/13/2015,"The temperature readings have been fabricated, and it's all blowing up in their (scientists') faces.","On climate change, ""the temperature readings have been fabricated, and it's all blowing up in their (scientists') faces."" ",Dana Perino
PolitiFact,US,FALSE,12/8/2015,Mike Morell testified and told Congress that the reason Obama has not bombed ISIS' oil fields is they're concerned about global warming.,"""Mike Morell testified and told Congress that the reason Obama has not bombed ISIS' oil fields is they're concerned about global warming.""",Ted Cruz
PolitiFact,US,FALSE,9/1/2015,The most recent survey of climate scientists said about 57 percent don’t agree with the idea that 95 percent of the change in the climate is caused by CO2.,"""The most recent survey of climate scientists said about 57 percent don’t agree with the idea that 95 percent of the change in the climate is caused by CO2.""",Rick Santorum 
PolitiFact,US,FALSE,4/17/2015,The elimination of essentially every automobile would be offset by one volcano exploding.,"""The elimination of essentially every automobile would be offset by one volcano exploding.""",Mike Huebsch
PolitiFact,US,FALSE,3/23/2015,"More than 7,000 Americans lost their lives to climate change-fueled events last year.","""More than 7,000 Americans lost their lives to climate change-fueled events last year.""",Don Beyer
PolitiFact,US,FALSE,8/1/2014,Global warming is a hoax.,"""Global warming is a hoax.""",Lenar Whitney
PolitiFact,US,FALSE,6/2/2014,"New carbon regulations will increase electric bills by ""$17 billion every year"" and ""potentially put an average of 224,000 more people out of work every year. ","New carbon regulations will increase electric bills by ""$17 billion every year"" and ""potentially put an average of 224,000 more people out of work every year.""",John Boehner
PolitiFact,US,FALSE,5/13/2014,Human activity is not causing these dramatic changes to our climate.,Human activity is not "causing these dramatic changes to our climate.",Marco Rubio
PolitiFact,US,FALSE,6/25/2014,NASA scientists fudged the numbers to make 1998 the hottest year to overstate the extent of global warming.,"""NASA scientists fudged the numbers to make 1998 the hottest year to overstate the extent of global warming.""",Steve Doocy
PolitiFact,US,FALSE,12/13/2013,The Earth is not warming.,"""The Earth is not warming.""",Barry Smitherman
PolitiFact,US,FALSE,1/8/2014,The media created the term "polar vortex" and the cold air proves "the ice isn’t melting." ,Says the media created the term "polar vortex" and the cold air proves "the ice isn’t melting.",Rush Limbaugh
FullFact,UK,FALSE,11/5/2021,A picture shows private jets in a Scottish airport for COP26.,Picture of parked up private jets isn’t from COP26,Viral image
FullFact,UK,FALSE,10/19/2021,Bill Gates and the UK government are contributing £400 million each to a new fund designed to boost green investment.,Bill Gates’ £400m claim about green investment was wrong,Global Investment Summit broadcast
FullFact,UK,FALSE,10/18/2021,In September 2021 there was a three-week period when renewables produced between 2% and 3% of the country’s electricity.,Nigel Farage understates renewable energy generation,Nigel Farage
FullFact,UK,FALSE,10/12/2021,A major clean-up of an Indian beach led to hundreds of thousands sea turtles hatching along its coast this week.,Thousands of sea turtles did not hatch on Indian beach this week,Anonymous Facebook posts
FullFact,UK,FALSE,5/18/2021,Sir David Attenborough said “words fail me” over the felling of a 300 year-old tree for an HS2 service road.,No evidence Sir David Attenborough made viral comments about HS2,Anonymous Facebook posts
FullFact,UK,FALSE,2/28/2020,EU laws prevent the UK from dredging rivers.,EU regulations on dredging did not cause recent flooding,Anonymous Facebook posts
FullFact,UK,FALSE,2/27/2020,There was more ice than ever before at the polar ice caps in 2015.,There wasn’t more polar ice “than ever” in 2015,Anonymous Facebook posts
FullFact,UK,FALSE,2/6/2020,"Despite pledging to meet net zero emissions by 2050, on current track the government will only meet their target by 2099.",There’s not enough evidence to say the net zero emissions target will be missed by 49 years,Jeremy Corbyn
FullFact,UK,FALSE,2/6/2020,Boris Johnson has said that climate change is a primitive fear without foundation.,Corbyn claim about Boris Johnson’s climate change scepticism needs context,Jeremy Corbyn
FullFact,UK,FALSE,12/3/2019,The UK wastes more food than any other country in Europe.,Corbyn incorrectly says UK has worst recycling in the EU,Jeremy Corbyn
FullFact,UK,FALSE,2/27/2019,Wind turbines can never generate as much energy as the energy invested in building them.,Overblown: Wind turbines don’t take more energy to build than they will ever produce,Anonymous Facebook posts
FullFact,UK,FALSE,2/22/2019,We just had two years (2016-2018) of record-breaking Global Cooling.,"No, we are not experiencing “global cooling”",Anonymous source
